Name	1400	1500	1550	1600	1650	1700	1750	1800	1850	1900	2000
PRICE (TIME)	iː	ɪi	ɪi	ɪi	əi	əi	ʌi	ʌi	ʌi	ʌi	...
FLEECE (SEE)	eː	iː	iː	iː	iː	iː	...				
FLEECE (EAST)	ɛː	e̞ː	e̞ː	eː	/	iː	↑				
FACE (NAME)	aː	æː	æː	ɛː	ɛː	/	eː	/	eɪ	...	
FACE (DAY)	æj	æːi	ɛːi	ɛː	↑						
MOUTH (HOUSE)	uː	ʊu	əu	au	...						
GOOSE (MOON)	oː	uː	...								
GOAT (STONE)	ɔː	/	oː	/	/	o̞ː	/	oːu	/	oʊ	əʊ
GOAT (KNOW)	ɔu	ou	/	/	/	o̞ː	↑				
THOUGHT (LAW)	au	ɑːʊ/ɔːʊ	/	ɑː/ɔː	/	/	o̞ː	/	/	/	ɔː
GOOSE (NEW)	eu/iu	iuː	/	/	/	juː	...				
GOOSE (DEW)	ɛu	eːu	iu	iuː	/	juː	↑				
TRAP (THAT)	a	/	/	æ	...						
CLOTH (?) (FOX)	o̞	/	/	ɔ/ɒ	/	/	/	/	/	/	ɒ
STRUT (CUT)	ʊ	/	/	ɤ	/	/	ʌ̈	/	/	/	ʌ
